Order_ID,Order_Date,Delivery_Date,Customer_ID,Region,City,Courier_Partner,Product_Category,Order_Value,Delivery_Days,Delivery_Status
ORD100084,2023-10-02,2023-10-04,CUST9595,West,Mumbai,India Post,Beauty,14186.73,2,On-Time
ORD100085,2023-11-02,2023-11-08,CUST1231,South,Bangalore,Ecom Express,Home,11760.42,6,Delayed
ORD100086,2023-12-29,2024-01-01,CUST3068,East,Bhubaneswar,India Post,Electronics,27891.27,3,On-Time
ORD100087,2023-11-23,2023-12-01,CUST8216,West,Pune,India Post,Electronics,28916.18,8,Delayed
ORD100088,2023-06-24,2023-06-30,CUST9056,North,Delhi,DTDC,Beauty,6147.31,6,Delayed
ORD100089,2023-02-07,2023-02-15,CUST5066,East,Kolkata,India Post,Sports,47481.72,8,Delayed
ORD100090,2023-03-02,2023-03-04,CUST8381,East,Bhubaneswar,Delhivery,Sports,11671.51,2,On-Time
ORD100091,2023-08-15,2023-08-19,CUST2625,South,Chennai,DTDC,Sports,3481.4,4,On-Time
ORD100092,2023-04-17,2023-04-19,CUST3564,East,Bhubaneswar,Delhivery,Fashion,12373.33,2,On-Time
ORD100093,2023-01-02,2023-01-08,CUST8438,South,Chennai,DTDC,Fashion,14761.19,6,Delayed
ORD100094,2023-02-06,2023-02-08,CUST7965,East,Bhubaneswar,Delhivery,Sports,33228.56,2,On-Time
ORD100095,2023-02-28,2023-03-06,CUST6039,East,Kolkata,Ecom Express,Fashion,4034.79,6,Delayed
ORD100096,2023-11-01,2023-11-04,CUST5460,East,Bhubaneswar,Blue Dart,Beauty,34589.56,3,On-Time
ORD100097,2023-09-14,2023-09-17,CUST5102,East,Bhubaneswar,India Post,Electronics,44526.43,3,On-Time
ORD100098,2023-01-14,2023-01-16,CUST3870,North,Delhi,Ecom Express,Home,29024.23,2,On-Time
ORD100099,2023-08-29,2023-08-31,CUST9056,East,Bhubaneswar,Ecom Express,Fashion,49848.8,2,On-Time
ORD100100,2023-02-16,2023-02-22,CUST9117,South,Chennai,DTDC,Electronics,42957.79,6,Delayed
ORD100101,2023-05-28,2023-06-03,CUST5135,East,Bhubaneswar,Ecom Express,Sports,2316.51,6,Delayed
ORD100102,2023-06-15,2023-06-17,CUST7770,North,Lucknow,Ecom Express,Electronics,33054.19,2,On-Time
ORD100103,2023-01-28,2023-01-30,CUST4335,North,Lucknow,Delhivery,Beauty,31457.73,2,On-Time
ORD100104,2023-05-17,2023-05-19,CUST4920,East,Bhubaneswar,Blue Dart,Beauty,6510.59,2,On-Time
ORD100105,2023-12-30,2024-01-02,CUST2858,North,Delhi,Blue Dart,Electronics,11622.68,3,On-Time
ORD100106,2023-08-25,2023-09-03,CUST8905,West,Mumbai,Blue Dart,Home,25689.16,9,Delayed
ORD100107,2023-08-30,2023-09-02,CUST2143,North,Delhi,DTDC,Sports,25657.92,3,On-Time
ORD100108,2023-05-22,2023-05-29,CUST5891,West,Pune,DTDC,Sports,13725.05,7,Delayed
ORD100109,2023-10-28,2023-11-03,CUST9903,East,Bhubaneswar,Ecom Express,Beauty,27159.74,6,Delayed
ORD100110,2023-07-13,2023-07-19,CUST7730,South,Chennai,Ecom Express,Fashion,28803.98,6,Delayed
ORD100111,2023-01-23,2023-01-25,CUST3492,South,Chennai,Delhivery,Beauty,19610.9,2,On-Time
ORD100112,2023-09-11,2023-09-17,CUST8213,West,Mumbai,Blue Dart,Sports,16933.74,6,Delayed
ORD100113,2023-02-21,2023-02-26,CUST3529,East,Bhubaneswar,India Post,Fashion,20793.94,5,On-Time
ORD100114,2023-02-08,2023-02-11,CUST9742,South,Chennai,DTDC,Beauty,32666.91,3,On-Time
ORD100115,2023-07-14,2023-07-20,CUST5708,West,Pune,Ecom Express,Electronics,31064.24,6,Delayed
ORD100116,2023-04-27,2023-04-29,CUST1474,East,Bhubaneswar,Ecom Express,Electronics,22462.09,2,On-Time
ORD100117,2023-01-24,2023-01-30,CUST7751,South,Bangalore,DTDC,Home,21819.0,6,Delayed
ORD100118,2023-10-17,2023-10-26,CUST4945,East,Kolkata,India Post,Electronics,30669.84,9,Delayed
ORD100119,2023-09-12,2023-09-16,CUST8622,West,Mumbai,DTDC,Home,23248.74,4,On-Time
ORD100120,2023-05-28,2023-06-05,CUST7951,East,Kolkata,India Post,Home,49388.76,8,Delayed
ORD100121,2023-12-20,2023-12-26,CUST7248,North,Lucknow,India Post,Beauty,42740.11,6,Delayed
ORD100122,2023-10-20,2023-10-23,CUST7484,South,Chennai,Ecom Express,Home,1586.01,3,On-Time
ORD100123,2023-05-21,2023-05-22,CUST4770,North,Delhi,Ecom Express,Beauty,41725.53,1,On-Time
ORD100124,2023-11-07,2023-11-10,CUST3240,West,Mumbai,Delhivery,Sports,12906.03,3,On-Time
ORD100125,2023-11-18,2023-11-27,CUST3153,North,Delhi,DTDC,Beauty,2151.54,9,Delayed
ORD100126,2023-02-16,2023-02-18,CUST6994,West,Pune,Delhivery,Fashion,10439.34,2,On-Time
ORD100127,2023-09-29,2023-10-01,CUST5835,East,Bhubaneswar,Ecom Express,Home,45745.42,2,On-Time
ORD100128,2023-06-23,2023-06-29,CUST7511,West,Pune,Ecom Express,Fashion,37830.5,6,Delayed
ORD100129,2023-10-13,2023-10-20,CUST5295,South,Chennai,India Post,Sports,6617.64,7,Delayed
ORD100130,2023-10-27,2023-10-28,CUST6374,South,Chennai,India Post,Fashion,23838.1,1,On-Time
ORD100131,2023-11-09,2023-11-15,CUST7689,North,Delhi,Delhivery,Beauty,45514.69,6,Delayed
ORD100132,2023-03-01,2023-03-07,CUST9807,North,Delhi,DTDC,Beauty,6247.96,6,Delayed
ORD100133,2023-03-11,2023-03-14,CUST3531,South,Chennai,Delhivery,Sports,21246.77,3,On-Time
ORD100134,2023-08-01,2023-08-07,CUST8264,East,Bhubaneswar,Delhivery,Home,2119.46,6,Delayed
ORD100135,2023-08-16,2023-08-20,CUST6876,West,Pune,India Post,Home,27451.06,4,On-Time
ORD100136,2023-02-01,2023-02-07,CUST1349,South,Bangalore,Ecom Express,Beauty,5037.83,6,Delayed
ORD100137,2023-01-26,2023-01-28,CUST4394,West,Mumbai,Ecom Express,Sports,10657.68,2,On-Time
ORD100138,2023-10-28,2023-11-01,CUST5542,North,Delhi,DTDC,Fashion,39537.87,4,On-Time
ORD100139,2023-03-16,2023-03-22,CUST1243,West,Pune,Delhivery,Electronics,33222.35,6,Delayed
ORD100140,2023-07-03,2023-07-10,CUST7897,West,Mumbai,Blue Dart,Electronics,9125.19,7,Delayed
ORD100141,2023-09-27,2023-10-05,CUST9254,North,Delhi,Blue Dart,Home,25905.28,8,Delayed
ORD100142,2023-04-24,2023-04-25,CUST1510,West,Mumbai,Delhivery,Sports,15430.7,1,On-Time
ORD100143,2023-02-01,2023-02-04,CUST2204,West,Pune,Blue Dart,Electronics,24768.31,3,On-Time
ORD100144,2023-02-11,2023-02-14,CUST6327,South,Bangalore,India Post,Home,31403.72,3,On-Time
ORD100145,2023-07-15,2023-07-18,CUST2874,West,Pune,Blue Dart,Sports,21794.87,3,On-Time
ORD100146,2023-12-02,2023-12-04,CUST7532,East,Kolkata,Blue Dart,Fashion,20983.77,2,On-Time
ORD100147,2023-08-01,2023-08-07,CUST8770,East,Bhubaneswar,Blue Dart,Home,19027.9,6,Delayed
ORD100148,2023-02-04,2023-02-12,CUST3131,North,Delhi,India Post,Electronics,37357.15,8,Delayed
ORD100149,2023-10-12,2023-10-15,CUST7929,North,Lucknow,Delhivery,Beauty,18003.1,3,On-Time
ORD100150,2023-01-27,2023-02-03,CUST8900,West,Pune,DTDC,Sports,25616.92,7,Delayed
ORD100151,2023-04-25,2023-05-01,CUST4705,West,Pune,Ecom Express,Home,6186.82,6,Delayed
ORD100152,2023-08-08,2023-08-14,CUST6062,West,Mumbai,Delhivery,Home,1933.18,6,Delayed
ORD100153,2023-06-23,2023-06-29,CUST1502,South,Bangalore,Ecom Express,Sports,33038.56,6,Delayed
ORD100154,2023-02-16,2023-02-23,CUST6314,East,Kolkata,DTDC,Beauty,17374.35,7,Delayed
ORD100155,2023-10-18,2023-10-24,CUST8259,East,Kolkata,India Post,Sports,2963.24,6,Delayed
ORD100156,2023-12-05,2023-12-14,CUST8043,South,Chennai,DTDC,Fashion,37869.69,9,Delayed
ORD100157,2023-02-26,2023-03-05,CUST1897,South,Chennai,Blue Dart,Home,2748.16,7,Delayed
ORD100158,2023-01-04,2023-01-10,CUST9149,North,Delhi,Delhivery,Home,14827.63,6,Delayed
ORD100159,2023-08-09,2023-08-12,CUST6802,North,Lucknow,Blue Dart,Fashion,25262.99,3,On-Time
ORD100160,2023-02-06,2023-02-08,CUST8033,South,Bangalore,Blue Dart,Beauty,46097.54,2,On-Time
ORD100161,2023-10-21,2023-10-29,CUST8538,South,Chennai,DTDC,Beauty,1532.4,8,Delayed
ORD100162,2023-12-20,2023-12-24,CUST9584,West,Mumbai,Blue Dart,Electronics,12544.17,4,On-Time
ORD100163,2023-02-10,2023-02-16,CUST9363,South,Chennai,Delhivery,Fashion,16986.9,6,Delayed
ORD100164,2023-11-21,2023-11-24,CUST3419,North,Delhi,Ecom Express,Home,17879.44,3,On-Time
ORD100165,2023-05-01,2023-05-04,CUST2234,North,Lucknow,India Post,Sports,8067.05,3,On-Time
ORD100166,2023-04-01,2023-04-04,CUST6295,West,Pune,Blue Dart,Sports,38113.92,3,On-Time
ORD100167,2023-11-18,2023-11-22,CUST1920,South,Chennai,India Post,Beauty,31753.56,4,On-Time
ORD100168,2023-06-30,2023-07-02,CUST2257,East,Bhubaneswar,Blue Dart,Electronics,3316.06,2,On-Time
ORD100169,2023-11-27,2023-11-29,CUST1672,West,Mumbai,Delhivery,Sports,19531.88,2,On-Time
ORD100170,2023-08-19,2023-08-21,CUST8381,West,Mumbai,DTDC,Beauty,25317.68,2,On-Time
ORD100171,2023-02-22,2023-02-28,CUST5059,West,Pune,Ecom Express,Electronics,25475.18,6,Delayed
ORD100172,2023-12-29,2024-01-04,CUST5634,South,Chennai,Blue Dart,Sports,8357.94,6,Delayed
ORD100173,2023-07-18,2023-07-21,CUST2079,South,Chennai,Delhivery,Electronics,39566.73,3,On-Time
ORD100174,2023-06-18,2023-06-25,CUST3317,North,Lucknow,DTDC,Sports,43727.34,7,Delayed
ORD100175,2023-06-29,2023-07-07,CUST6381,South,Chennai,India Post,Electronics,15824.3,8,Delayed
ORD100176,2023-03-07,2023-03-13,CUST6060,East,Kolkata,Delhivery,Beauty,25670.18,6,Delayed
ORD100177,2023-04-03,2023-04-06,CUST3538,West,Pune,Ecom Express,Beauty,10004.26,3,On-Time
ORD100178,2023-02-09,2023-02-11,CUST1618,South,Bangalore,Blue Dart,Sports,41838.43,2,On-Time
ORD100179,2023-12-05,2023-12-10,CUST3712,South,Bangalore,Blue Dart,Fashion,8531.24,5,On-Time
ORD100180,2023-08-13,2023-08-16,CUST8355,North,Lucknow,Delhivery,Fashion,48494.64,3,On-Time
ORD100181,2023-04-30,2023-05-06,CUST8218,East,Bhubaneswar,Ecom Express,Beauty,45246.73,6,Delayed
ORD100182,2023-08-25,2023-08-27,CUST3267,West,Pune,Blue Dart,Beauty,48330.27,2,On-Time
ORD100183,2023-05-09,2023-05-12,CUST9452,North,Lucknow,Ecom Express,Sports,46747.53,3,On-Time
ORD100184,2023-03-05,2023-03-11,CUST4637,South,Bangalore,DTDC,Sports,7793.76,6,Delayed
ORD100185,2023-08-19,2023-08-26,CUST2337,West,Mumbai,DTDC,Beauty,25349.35,7,Delayed
ORD100186,2023-07-11,2023-07-17,CUST5700,North,Lucknow,Ecom Express,Home,39673.34,6,Delayed
ORD100187,2023-08-30,2023-09-05,CUST2298,East,Kolkata,Delhivery,Beauty,22705.77,6,Delayed
ORD100188,2023-01-10,2023-01-16,CUST5720,North,Delhi,Blue Dart,Sports,26624.69,6,Delayed
ORD100189,2023-05-02,2023-05-08,CUST9189,South,Bangalore,DTDC,Sports,23127.12,6,Delayed
ORD100190,2023-11-02,2023-11-04,CUST4941,East,Kolkata,Delhivery,Home,21747.33,2,On-Time
ORD100191,2023-10-20,2023-10-23,CUST9312,South,Bangalore,Blue Dart,Home,3850.13,3,On-Time
ORD100192,2023-09-17,2023-09-19,CUST5155,East,Bhubaneswar,Ecom Express,Electronics,31965.7,2,On-Time
ORD100193,2023-01-09,2023-01-11,CUST6447,South,Bangalore,DTDC,Electronics,38689.32,2,On-Time
ORD100194,2023-03-10,2023-03-12,CUST8840,North,Lucknow,Ecom Express,Fashion,41603.99,2,On-Time
ORD100195,2023-11-20,2023-11-28,CUST4268,North,Delhi,India Post,Beauty,2330.7,8,Delayed
ORD100196,2023-01-22,2023-01-28,CUST4131,South,Chennai,Blue Dart,Sports,23933.29,6,Delayed
ORD100197,2023-05-27,2023-05-29,CUST8159,South,Bangalore,Ecom Express,Home,14024.22,2,On-Time
ORD100198,2023-07-24,2023-07-31,CUST9507,East,Bhubaneswar,DTDC,Fashion,25062.06,7,Delayed
ORD100199,2023-05-17,2023-05-23,CUST5813,West,Pune,India Post,Sports,49757.36,6,Delayed
ORD100200,2023-06-14,2023-06-17,CUST3730,North,Lucknow,Delhivery,Home,22572.83,3,On-Time
ORD100201,2023-12-20,2023-12-28,CUST1939,South,Chennai,India Post,Home,30935.15,8,Delayed
ORD100202,2023-02-08,2023-02-16,CUST8179,East,Bhubaneswar,DTDC,Fashion,47663.08,8,Delayed
ORD100203,2023-01-18,2023-01-21,CUST1530,North,Delhi,Delhivery,Home,18426.45,3,On-Time
ORD100204,2023-11-06,2023-11-12,CUST3255,North,Lucknow,Ecom Express,Home,22474.99,6,Delayed
ORD100205,2023-09-29,2023-10-05,CUST4048,South,Chennai,Delhivery,Fashion,48045.74,6,Delayed
ORD100206,2023-09-13,2023-09-20,CUST5678,East,Kolkata,DTDC,Home,35349.87,7,Delayed
ORD100207,2023-12-22,2023-12-29,CUST8292,West,Pune,DTDC,Fashion,42714.9,7,Delayed
ORD100208,2023-02-14,2023-02-21,CUST5914,West,Pune,Delhivery,Electronics,27724.86,7,Delayed
ORD100209,2023-03-22,2023-03-27,CUST3275,East,Kolkata,Delhivery,Sports,11599.96,5,On-Time
ORD100210,2023-05-02,2023-05-05,CUST3126,West,Mumbai,DTDC,Sports,18761.1,3,On-Time
ORD100211,2023-11-10,2023-11-14,CUST2208,West,Mumbai,DTDC,Beauty,26521.93,4,On-Time
ORD100212,2023-03-06,2023-03-09,CUST3981,West,Mumbai,Blue Dart,Sports,17553.48,3,On-Time
ORD100213,2023-03-08,2023-03-15,CUST6286,South,Bangalore,Ecom Express,Sports,8074.27,7,Delayed
ORD100214,2023-12-30,2024-01-01,CUST5496,North,Lucknow,Ecom Express,Home,10216.95,2,On-Time
ORD100215,2023-03-06,2023-03-09,CUST3804,East,Kolkata,Blue Dart,Fashion,29794.52,3,On-Time
ORD100216,2023-12-04,2023-12-06,CUST2330,East,Bhubaneswar,Ecom Express,Sports,2539.12,2,On-Time
ORD100217,2023-01-24,2023-01-26,CUST9159,West,Pune,Delhivery,Sports,21121.05,2,On-Time
ORD100218,2023-11-18,2023-11-24,CUST1981,East,Bhubaneswar,Blue Dart,Beauty,15222.98,6,Delayed
ORD100219,2023-03-22,2023-03-28,CUST6231,South,Chennai,Blue Dart,Home,30529.68,6,Delayed
ORD100220,2023-06-26,2023-07-05,CUST8642,West,Mumbai,Delhivery,Sports,28301.74,9,Delayed
ORD100221,2023-03-04,2023-03-10,CUST7850,South,Bangalore,India Post,Electronics,14865.49,6,Delayed
ORD100222,2023-05-08,2023-05-15,CUST3610,West,Mumbai,Ecom Express,Sports,36195.86,7,Delayed
ORD100223,2023-09-13,2023-09-19,CUST7442,West,Pune,Blue Dart,Home,25119.83,6,Delayed
ORD100224,2023-09-16,2023-09-22,CUST8710,South,Bangalore,DTDC,Home,2908.58,6,Delayed
ORD100225,2023-05-27,2023-05-30,CUST6995,East,Kolkata,Blue Dart,Home,36511.65,3,On-Time
ORD100226,2023-01-24,2023-01-31,CUST5582,South,Bangalore,DTDC,Home,4139.82,7,Delayed
ORD100227,2023-11-16,2023-11-18,CUST6555,East,Kolkata,India Post,Electronics,19998.23,2,On-Time
ORD100228,2023-10-13,2023-10-19,CUST1637,West,Mumbai,India Post,Sports,20368.66,6,Delayed
ORD100229,2023-03-12,2023-03-15,CUST6373,East,Bhubaneswar,Blue Dart,Fashion,30509.9,3,On-Time
ORD100230,2023-11-10,2023-11-12,CUST9351,South,Chennai,Ecom Express,Home,29889.37,2,On-Time
ORD100231,2023-09-30,2023-10-03,CUST7824,South,Chennai,Blue Dart,Electronics,18733.71,3,On-Time
ORD100232,2023-10-26,2023-10-29,CUST4728,South,Bangalore,Blue Dart,Home,48370.0,3,On-Time
ORD100233,2023-01-27,2023-02-02,CUST4968,East,Kolkata,Blue Dart,Sports,38843.0,6,Delayed
ORD100234,2023-01-17,2023-01-27,CUST4340,East,Kolkata,India Post,Beauty,16027.78,10,Delayed
ORD100235,2023-07-30,2023-08-02,CUST6325,East,Bhubaneswar,Ecom Express,Electronics,35435.87,3,On-Time
ORD100236,2023-12-06,2023-12-07,CUST9950,South,Chennai,DTDC,Fashion,23253.34,1,On-Time
ORD100237,2023-07-01,2023-07-07,CUST5890,East,Bhubaneswar,Delhivery,Fashion,47888.2,6,Delayed
ORD100238,2023-04-26,2023-04-28,CUST8861,West,Pune,Delhivery,Fashion,34666.88,2,On-Time
ORD100239,2023-06-28,2023-07-06,CUST7464,East,Bhubaneswar,DTDC,Sports,33992.8,8,Delayed
ORD100240,2023-06-26,2023-07-02,CUST8247,West,Mumbai,DTDC,Home,47788.03,6,Delayed
ORD100241,2023-12-02,2023-12-08,CUST5450,North,Lucknow,DTDC,Sports,13921.07,6,Delayed
ORD100242,2023-03-12,2023-03-19,CUST2641,North,Delhi,DTDC,Sports,11670.75,7,Delayed
ORD100243,2023-07-31,2023-08-08,CUST3587,South,Chennai,India Post,Fashion,756.48,8,Delayed
ORD100244,2023-07-28,2023-08-03,CUST5676,East,Bhubaneswar,Blue Dart,Fashion,37917.6,6,Delayed
ORD100245,2023-11-27,2023-11-29,CUST1611,North,Delhi,Delhivery,Fashion,26990.04,2,On-Time
